,ID,start_time,completion_time,email,name,gender,age,start_sector,bus_frequency,bus_waiting_time,bus_avg_spending,taxi_frequency,taxi_waiting_time,taxi_avg_spending,service_freq_order,trip_avg_time,trip_avg_km,transport_energy_source,pay_more_no_gas,EV_worries,env_pay_no_more_taxi,route_pay_no_more_taxi,env_pay_no_more_bus,transport_alternatives,massive_transport_weakness
89,144,1/23/20-12:48:06,1/23/20-12:50:17,anonymous,,Hombre,18-24,Mitad_del_Mundo_y_alrededores,1_dia_a_la_semana,5-10_minutos,0.50_cvs,1_dia_a_la_semana,menos_de_5_minutos,de_4_a_6_dolares,Otra;Cabify;In_drive;Taxi_Amarillo;Uber,21_a_30_minutos,24-31,Electrico,SI,Seguridad_del_vehiculo,0.75_cvs,0.75_cvs,0.25_cvs,,
90,145,1/23/20-21:09:17,1/23/20-21:11:41,anonymous,,Mujer,18-24,Valle_de_los_Chillos__y_alrededores,5_o_mas_dias_a_la_semana,5-10_minutos,1.25,2_dias_a_la_semana,menos_de_5_minutos,de_2_a_3_dolares,Taxi_Amarillo;Uber;Cabify;In_drive;Otra,Mas_de_50_minutos,32-39,Electrico,SI,Tiempo_de_autonomia,0.5_cvs,0.75_cvs,0.20_cvs,,
91,146,1/23/20-21:15:35,1/23/20-21:16:09,anonymous,,Hombre,25-34,Valle_de_los_Chillos__y_alrededores,No_me_movilizo_en_bus,,,No_me_movilizo_en_taxi,,,,,,,,,,,,,
92,147,1/23/20-22:13:53,1/23/20-22:15:14,anonymous,,Mujer,18-24,Sur_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
93,148,1/24/20-12:27:00,1/24/20-12:28:19,anonymous,,Mujer,18-24,Sur_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,1.25,No_me_movilizo_en_taxi,,,,,,,,,,,,,
94,149,1/26/20-2:49:20,1/26/20-2:54:51,anonymous,,Hombre,25-34,Sur_de_Quito,5_o_mas_dias_a_la_semana,mas_de_20_minutos,1.00,1_dia_a_la_semana,5-10_minutos,de_3_a_4_dolares,Uber;Taxi_Amarillo;Otra;Cabify;In_drive,menos_de_20_minutos,menos_de_8,Electrico,SI,Seguridad_del_vehiculo,1_dolar,1_dolar,0.30_cvs,,
95,150,1/26/20-16:41:03,1/26/20-16:42:08,anonymous,,Hombre,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,1.5,No_me_movilizo_en_taxi,,,,,,,,,,,,,
96,151,1/27/20-21:02:42,1/27/20-21:06:29,anonymous,,Hombre,45-54,Valle_de_los_Chillos__y_alrededores,2_dias_a_la_semana,mas_de_20_minutos,mas_de_1.5,2_dias_a_la_semana,5-10_minutos,de_4_a_6_dolares,Cabify;Taxi_Amarillo;Uber;In_drive;Otra,Mas_de_50_minutos,16-23,Electrico,SI,"Confort_(calidad_del_aire,ruido)",0.5_cvs,0.75_cvs,0.20_cvs,,
97,152,1/27/20-21:20:52,1/27/20-21:23:19,anonymous,,Mujer,35-44,Norte_de_Quito,No_me_movilizo_en_bus,,,3_dias_a_la_semana,5-10_minutos,de_4_a_6_dolares,Taxi_Amarillo;Cabify;Uber;In_drive;Otra,menos_de_20_minutos,menos_de_8,Electrico,NO,Velocidad_del_vehiculo,1.5_dolares,1_dolar,0.30_cvs,,
98,153,1/27/20-22:02:20,1/27/20-22:09:58,anonymous,,Hombre,mas_de_54,Mitad_del_Mundo_y_alrededores,5_o_mas_dias_a_la_semana,menos_de_5_minutos,mas_de_1.5,No_me_movilizo_en_taxi,,,,,,,,,,,,,
99,154,1/29/20-18:11:17,1/29/20-18:15:18,anonymous,,Hombre,25-34,Valle_de_los_Chillos__y_alrededores,5_o_mas_dias_a_la_semana,5-10_minutos,1.5,1_dia_a_la_semana,5-10_minutos,de_3_a_4_dolares,Taxi_Amarillo;Uber;Cabify;Otra;In_drive,menos_de_20_minutos,mas_de_39,Electrico,NO,"Confort_(calidad_del_aire,ruido)",0.25_cvs,0.5_cvs,0.30_cvs,,
100,155,3/16/20-10:08:27,3/16/20-10:09:44,anonymous,,Hombre,18-24,Valle_de_los_Chillos__y_alrededores,5_o_mas_dias_a_la_semana,mas_de_20_minutos,mas_de_1.5,No_me_movilizo_en_taxi,,,,,,,,,,,,,
101,156,7/7/20-14:17:45,7/7/20-14:18:36,anonymous,,Hombre,18-24,Valle_de_los_Chillos__y_alrededores,5_o_mas_dias_a_la_semana,10-20_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
102,157,7/7/20-14:17:43,7/7/20-14:20:45,anonymous,,Mujer,18-24,Norte_de_Quito,4_dias_a_la_semana,10-20_minutos,1.00,5_o_mas_dias_a_la_semana,5-10_minutos,de_2_a_3_dolares,Uber;Cabify;In_drive;Taxi_Amarillo;Otra,menos_de_20_minutos,8-15,Combustible_fosil,SI,Seguridad_del_vehiculo,1_dolar,1_dolar,0.30_cvs,Bicicleta;Motocicleta,Limpieza;Respeto_de_distancias_de_usuarios;Falta_de_gel_hidroalcoholico;Pago_electronico;
103,158,7/7/20-14:17:45,7/7/20-14:21:05,anonymous,,Mujer,18-24,Norte_de_Quito,3_dias_a_la_semana,mas_de_20_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
104,159,7/7/20-14:17:52,7/7/20-14:22:12,anonymous,,Mujer,18-24,Valle_de_los_Chillos__y_alrededores,5_o_mas_dias_a_la_semana,5-10_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
105,160,7/7/20-14:21:29,7/7/20-14:22:43,anonymous,,Hombre,25-34,Norte_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
106,161,7/7/20-15:16:10,7/7/20-15:16:43,anonymous,,Hombre,18-24,Sur_de_Quito,No_me_movilizo_en_bus,,,No_me_movilizo_en_taxi,,,,,,,,,,,,,
107,162,7/7/20-15:16:10,7/7/20-15:19:08,anonymous,,Mujer,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,mas_de_20_minutos,1.00,1_dia_a_la_semana,10-20_minutos,de_4_a_6_dolares,Uber;In_drive;Taxi_Amarillo;Cabify;Otra,31_a_40_minutos,32-39,Me_es_indiferente,SI,Tiempo_de_autonomia,0.25_cvs,0.5_cvs,0.10_cvs,A_pie,Limpieza;Respeto_de_distancias_de_usuarios;Falta_de_gel_hidroalcoholico;
108,163,7/7/20-15:16:17,7/7/20-15:20:45,anonymous,,Hombre,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,menos_de_5_minutos,1.00,5_o_mas_dias_a_la_semana,menos_de_5_minutos,de_4_a_6_dolares,Taxi_Amarillo;In_drive;Uber;Cabify;Otra,41_a_50_minutos,32-39,Electrico,SI,Velocidad_del_vehiculo,0.25_cvs,1.5_dolares,0.30_cvs,Bicicleta;A_pie;Motocicleta,Limpieza;Respeto_de_distancias_de_usuarios;Falta_de_gel_hidroalcoholico;
